item_id,site_id,domain_id,picture_id,correct_background?
MLB2150188011,MLB,MLB-SKIRTS,729851-MLB49666201711_042022,1
MLB2711916712,MLB,MLB-FOOTBALL_SHIRTS,661776-MLB50654861562_072022,0
MLB2215412091,MLB,MLB-FOOTBALL_SHIRTS,838513-MLB49447435744_032022,0
MLM1399768320,MLM,MLM-FOOTBALL_SHIRTS,937469-MLM46555330232_062021,0
MLA1143879605,MLA,MLA-FOOTBALL_SHIRTS,607139-MLA46170659227_052021,0
MLA1145286893,MLA,MLA-FOOTBALL_SHIRTS,995418-MLA49845269160_052022,0
MLB2642561872,MLB,MLB-FOOTBALL_SHIRTS,649910-MLB49953452610_052022,0
MLM1366619539,MLM,MLM-FOOTBALL_SHIRTS,769534-MLM49977567450_052022,0
MLA1141454174,MLA,MLA-SKIRTS,605469-MLA50233100369_062022,1
MLA1146308290,MLA,MLA-FOOTBALL_SHIRTS,752644-MLA50671902680_072022,?
MLB2700590370,MLB,MLB-SKIRTS,851747-CBT50536763992_072022,1
MLM1384392616,MLM,MLM-FOOTBALL_SHIRTS,936570-MLM47912808092_102021,1
MLB2672336701,MLB,MLB-FOOTBALL_SHIRTS,902104-MLB50242448502_062022,0
MLB2190043867,MLB,MLB-FOOTBALL_SHIRTS,639450-MLB49219079097_022022,0
MLA1142237312,MLA,MLA-FOOTBALL_SHIRTS,988630-MLA50285410527_062022,0
MLM1406045448,MLM,MLM-FOOTBALL_SHIRTS,687439-MLM49668509958_042022,0
MLB2698796243,MLB,MLB-FOOTBALL_SHIRTS,620329-MLB50521724227_062022,0
MLM1430128742,MLM,MLM-SKIRTS,626350-CBT50140746753_052022,1
MLA1141856147,MLA,MLA-FOOTBALL_SHIRTS,878272-MLA50255384069_062022,0
MLB2210153748,MLB,MLB-FOOTBALL_SHIRTS,993292-MLB49400154273_032022,0
MLB2177674668,MLB,MLB-SKIRTS,892546-MLB49111043995_022022,0
MLA1127839683,MLA,MLA-FOOTBALL_SHIRTS,958344-MLA49373787801_032022,0
MLB2209067897,MLB,MLB-FOOTBALL_SHIRTS,984317-MLB49391687252_032022,0
MLA1146169762,MLA,MLA-FOOTBALL_SHIRTS,916253-MLA50642004672_072022,?
MLB2221139584,MLB,MLB-FOOTBALL_SHIRTS,805983-MLB49507939522_032022,0
MLB2135714043,MLB,MLB-SKIRTS,665223-MLB48779850419_012022,0
MLB2669666448,MLB,MLB-SKIRTS,760093-MLB50219329020_062022,1
MLB2706623500,MLB,MLB-FOOTBALL_SHIRTS,771868-MLB50600360942_072022,0
MLB2189393774,MLB,MLB-SKIRTS,919253-MLB49212679915_022022,0
MLA1137460417,MLA,MLA-FOOTBALL_SHIRTS,688618-MLA49965029089_052022,0
MLB2219028104,MLB,MLB-FLATS,861191-MLB49481672563_032022,?
MLM1442434113,MLM,MLM-FOOTBALL_SHIRTS,611517-MLM48724974582_012022,0
MLA1136041120,MLA,MLA-FOOTBALL_SHIRTS,649631-MLA49879504380_052022,0
MLA1145613029,MLA,MLA-FOOTBALL_SHIRTS,742150-MLA50599659459_072022,0
MLA1140910574,MLA,MLA-FOOTBALL_SHIRTS,707714-MLA50203110851_062022,0
MLM1429449197,MLM,MLM-FLATS,658055-CBT50121592484_052022,1
MLM1386256690,MLM,MLM-FOOTBALL_SHIRTS,652543-MLM47013527473_082021,0
MLB2684522452,MLB,MLB-FOOTBALL_SHIRTS,625731-MLB50367376286_062022,0
MLB2683716697,MLB,MLB-FOOTBALL_SHIRTS,880479-MLB50357224017_062022,0
MLM1418607770,MLM,MLM-FLATS,934260-MLM49893303238_052022,0
MLM1400478352,MLM,MLM-FOOTBALL_SHIRTS,944399-MLM48398556526_112021,0
MLA1143360818,MLA,MLA-FOOTBALL_SHIRTS,971628-MLA50382568063_062022,0
MLM1397671833,MLM,MLM-FOOTBALL_SHIRTS,794611-MLM48484121038_122021,0
MLB2173951732,MLB,MLB-FOOTBALL_SHIRTS,863516-MLB49080314136_022022,0
MLA1139323390,MLA,MLA-FLATS,630156-MLA49413433312_032022,0
MLB2151913518,MLB,MLB-FOOTBALL_SHIRTS,689685-MLB48910087093_012022,0
MLB2614265218,MLB,MLB-FLATS,909993-MLB49677349761_042022,0
MLB2677427989,MLB,MLB-FOOTBALL_SHIRTS,732322-MLB50292367710_062022,1
MLA1132366694,MLA,MLA-FOOTBALL_SHIRTS,723630-MLA49677033423_042022,0
MLM1454899841,MLM,MLM-FOOTBALL_SHIRTS,986195-MLM50629989109_072022,1
MLM1440395667,MLM,MLM-FOOTBALL_SHIRTS,986573-MLM45338267458_032021,1
MLM1426538781,MLM,MLM-FOOTBALL_SHIRTS,927183-MLA50039458048_052022,0
MLB2621236872,MLB,MLB-FOOTBALL_SHIRTS,788787-MLB49746578090_042022,?
MLB2707205848,MLB,MLB-FOOTBALL_SHIRTS,957751-MLB50607052612_072022,0
MLB2143611374,MLB,MLB-FOOTBALL_SHIRTS,872354-MLB48841610495_012022,0
MLM1423417142,MLM,MLM-FLATS,787368-MLM49983653706_052022,1
MLA1146216588,MLA,MLA-FOOTBALL_SHIRTS,743070-MLA50663403319_072022,0
MLB2621542841,MLB,MLB-FOOTBALL_SHIRTS,859253-MLB49751131460_042022,0
MLB2676342565,MLB,MLB-FOOTBALL_SHIRTS,924019-MLB50283264381_062022,1
MLB2667929099,MLB,MLB-FOOTBALL_SHIRTS,611694-MLB50203925630_062022,0
MLB2709067181,MLB,MLB-FOOTBALL_SHIRTS,769246-MLB50622898314_072022,0
MLM1398908602,MLM,MLM-FOOTBALL_SHIRTS,640036-MLM49525288065_032022,?
MLB2669029628,MLB,MLB-FOOTBALL_SHIRTS,888141-MLB50214102218_062022,0
MLA1136408593,MLA,MLA-FLATS,977198-MLA49900768190_052022,0
MLB2638926718,MLB,MLB-FLATS,665273-CBT49933066461_052022,1
MLB2664533032,MLB,MLB-FOOTBALL_SHIRTS,816395-MLB50172770143_062022,0
MLA1123499286,MLA,MLA-FLATS,715258-MLA49109164438_022022,1
MLA1123246645,MLA,MLA-FOOTBALL_SHIRTS,960530-MLA49088399782_022022,0
MLA1137817215,MLA,MLA-FOOTBALL_SHIRTS,618250-MLA49023017060_022022,0
MLB2643646286,MLB,MLB-SKIRTS,758329-MLB49966159991_052022,0
MLB2213732634,MLB,MLB-FOOTBALL_SHIRTS,622599-MLB49432435958_032022,0
MLB2637958743,MLB,MLB-FOOTBALL_SHIRTS,703732-MLB49911626690_052022,1
MLA1130625600,MLA,MLA-SKIRTS,795805-MLA49567715557_042022,1
MLM1420668537,MLM,MLM-FOOTBALL_SHIRTS,940634-MLM49935396192_052022,0
MLA1136307197,MLA,MLA-FOOTBALL_SHIRTS,847347-MLA49891210153_052022,0
MLB2700629314,MLB,MLB-SKIRTS,721076-CBT50536768997_072022,1
MLM1417251369,MLM,MLM-FOOTBALL_SHIRTS,785203-MLM49872443087_052022,1
MLM1391353418,MLM,MLM-FLATS,949184-MLM49353720026_032022,?
MLM1427987867,MLM,MLM-FOOTBALL_SHIRTS,767043-MLM50083067833_052022,0
MLB2149161834,MLB,MLB-FOOTBALL_SHIRTS,716444-MLB48883956001_012022,0
MLB2658575830,MLB,MLB-FOOTBALL_SHIRTS,845355-MLB50111069801_052022,0
MLM1439427201,MLM,MLM-FLATS,927314-CBT50306114364_062022,0
MLB2694364154,MLB,MLB-FLATS,974822-CBT50429341531_062022,?
MLA1142323095,MLA,MLA-FLATS,827888-MLA47018114937_082021,0
MLM1391467621,MLM,MLM-FLATS,940527-MLM49353853040_032022,?
MLA1131223229,MLA,MLA-FOOTBALL_SHIRTS,900130-MLA49602612201_042022,0
MLB2152985116,MLB,MLB-FOOTBALL_SHIRTS,874613-MLB48918477862_012022,0
MLB2703615308,MLB,MLB-FOOTBALL_SHIRTS,927948-MLB50572906804_072022,0
MLB2159258589,MLB,MLB-FOOTBALL_SHIRTS,755221-MLB48966545495_012022,0
MLB2680502470,MLB,MLB-FOOTBALL_SHIRTS,895003-MLB50323821105_062022,0
MLB2616762221,MLB,MLB-SKIRTS,935902-MLB49598421927_042022,1
MLB2689734349,MLB,MLB-SKIRTS,901240-MLB50425238672_062022,0
MLB2634429628,MLB,MLB-FOOTBALL_SHIRTS,722118-MLB49878384188_052022,0
MLB2647908670,MLB,MLB-FOOTBALL_SHIRTS,949494-MLB50005611120_052022,1
MLB2677867908,MLB,MLB-FOOTBALL_SHIRTS,808060-MLB48870919517_012022,0
MLM1430485605,MLM,MLM-FOOTBALL_SHIRTS,963061-MLM50152481438_052022,1
MLB2651267149,MLB,MLB-FOOTBALL_SHIRTS,858641-MLB50035083497_052022,0
MLM1390872967,MLM,MLM-SKIRTS,830529-CBT49346249076_032022,1
