item_id,site_id,domain_id,picture_id,correct_background?
MLA1131600086,MLA,MLA-BOOTS_AND_BOOTIES,820430-MLA49628611503_042022,0
MLM1402920676,MLM,MLM-SPORT_SWIMWEAR,602874-CBT49608588342_042022,1
MLA1133559288,MLA,MLA-PANTS,727367-MLA49747205451_042022,0
MLB2651003177,MLB,MLB-SNEAKERS,869404-MLB50031636104_052022,?
MLB2705048017,MLB,MLB-JACKETS_AND_COATS,888445-CBT50549726018_072022,1
MLM1406679404,MLM,MLM-BOOTS_AND_BOOTIES,600362-MLM49679786269_042022,?
MLA1142365675,MLA,MLA-JACKETS_AND_COATS,614142-MLA50293545870_062022,1
MLM1428010980,MLM,MLM-LOAFERS_AND_OXFORDS,898807-MLM50081652397_052022,1
MLA1137788820,MLA,MLA-T_SHIRTS,635540-MLA49986649766_052022,0
MLB2646117520,MLB,MLB-PANTS,917336-MLB49987534769_052022,?
MLM1438019432,MLM,MLM-SHIRTS,663360-MLM45083915668_032021,0
MLA1123797101,MLA,MLA-T_SHIRTS,954888-MLA49129330330_022022,1
MLB2141136900,MLB,MLB-AUTOMOTIVE_SKIRTS,638799-MLB48822254337_012022,1
MLM1438216904,MLM,MLM-JACKETS_AND_COATS,604564-CBT50286635097_062022,1
MLB2695942511,MLB,MLB-T_SHIRTS,712301-CBT50490005382_062022,1
MLA1142374648,MLA,MLA-SNEAKERS,661960-MLA49628771060_042022,0
MLB2672479323,MLB,MLB-T_SHIRTS,911457-MLB50233633024_062022,0
MLM1390679781,MLM,MLM-SNEAKERS,900778-MLM49343894050_032022,1
MLB2670912140,MLB,MLB-PANTS,728346-MLB50227968845_062022,0
MLA1141511463,MLA,MLA-SNEAKERS,680833-MLA50239489193_062022,0
MLM1407717712,MLM,MLM-LOAFERS_AND_OXFORDS,996951-MLM49695803924_042022,1
MLA1136247357,MLA,MLA-HEELS_AND_WEDGES,874193-MLA49886248705_052022,0
MLB2665282121,MLB,MLB-BLOUSES,681171-CBT50178579976_062022,1
MLB2170597882,MLB,MLB-SNEAKERS,719652-MLB49055451912_022022,1
MLM1432350754,MLM,MLM-BOOTS_AND_BOOTIES,834271-MLM50189979017_062022,0
MLA1118044306,MLA,MLA-T_SHIRTS,946085-MLA48728882308_012022,1
MLM1438071729,MLM,MLM-SHIRTS,823364-CBT50285888989_062022,1
MLB2705047640,MLB,MLB-T_SHIRTS,924384-MLB50577243620_072022,1
MLM1424666910,MLM,MLM-SNEAKERS,647102-MLM50008432759_052022,0
MLB2214201259,MLB,MLB-SNEAKERS,852727-MLB49315188635_032022,1
MLM1444829809,MLM,MLM-SNEAKERS,839435-MLM50426861158_062022,1
MLB2654008271,MLB,MLB-SWEATSHIRTS_AND_HOODIES,625872-MLB27496589634_062018,0
MLM1404016164,MLM,MLM-SHIRTS,970182-CBT49633358305_042022,1
MLB2698708330,MLB,MLB-SHIRTS,911380-MLB50519343532_062022,1
MLM1452618892,MLM,MLM-SWEATERS_AND_CARDIGANS,646582-CBT50590955041_072022,1
MLB2683836467,MLB,MLB-BLOUSES,739799-MLB50359125644_062022,1
